topic_id,topic_name,topic_description
T01,Ambition vs Consequence,Striving for success and the personal or moral cost that follows.
T02,Deception and Disguise,"Lies, masks, hidden motives, and the fallout of pretending to be someone else."
T03,Honor and Reputation,"Protecting one's name and dignity in the eyes of others, sometimes at great cost."
T04,Friendship and Loyalty,"Trust between people tested by pressure, temptation, or changing circumstances."
T05,Love vs Duty,"Romantic or personal desire conflicting with responsibility, promises, or social expectation."
T06,Jealousy and Envy,"Resentment and suspicion driven by comparison, insecurity, or fear of loss."
T07,Power and Rebellion,"Control and authority challenged by defiance, protest, or quiet resistance."
T08,Justice and Revenge,"The difference between fairness and vengeance, and who gets to decide what is right."
T09,Guilt and Conscience,"Private moral struggle after wrongdoing, mistakes, or betrayal."
T10,Truth and Manipulation,"How facts are twisted, withheld, or weaponized to control others."
T11,Class and Social Hierarchy,"Status, privilege, and the invisible rules that divide society into ranks."
T12,Greed and Temptation,"Desire for wealth or advantage overriding good judgment and ethics."
T13,Pride and Humiliation,"Ego, vanity, and the sharp fall that comes with embarrassment or failure."
T14,Fate and Human Agency,"Whether people choose their path or are carried by chance, destiny, or circumstance."
T15,Madness and Obsession,"Fixation spiraling into irrational behavior and loss of control."
T16,Courage and Fear,"Bravery tested by danger, uncertainty, or a moment requiring decisive action."
T17,Miscommunication and Fallout,"Small misunderstandings escalating into serious conflict or irreversible consequences."
T18,Comedy from Chaos,"Humor emerging from disorder, coincidence, incompetence, or absurd social situations."
T19,Appearance vs Reality,"The contrast between how things seem and what is actually true underneath."
T20,Hypocrisy and Satire,"Exposing contradiction between values and actions, often through humor or critique."
