Book,Total Paragraphs,Paragraphs (100-250 words)
001_Study_in_Scarlet.txt,783,138
002_Sign_of_Four.txt,784,114
003_ASH_01_Scandal_In_Bohemia.txt,262,20
004_ASH_02_Red_Headed_League.txt,219,24
005_ASH_03_Case_Of_Identity.txt,139,23
006_ASH_04_Boscombe_Valley_Mystery.txt,216,18
007_ASH_05_Five_Orange_Pips.txt,179,19
008_ASH_06_Man_With_Twisted_Lip.txt,221,22
009_ASH_07_Blue_Carbuncle.txt,215,20
010_ASH_08_Speckled_Band.txt,252,26
011_ASH_09_Engineers_Thumb.txt,177,19
012_ASH_10_Noble_Bachelor.txt,226,15
013_ASH_11_Beryl_Coronet.txt,222,29
014_ASH_12_Copper_Beeches.txt,209,26
015_MSH_01_Silver_Blaze.txt,228,19
016_MSH_02_Cardboard_Box.txt,137,25
017_MSH_03_Yellow_Face.txt,153,19
018_MSH_04_Stockbrokers_Clerk.txt,192,17
019_MSH_05_Gloria_Scott.txt,145,24
020_MSH_06_Musgrave_Ritual.txt,138,28
021_MSH_07_Reigate_Squire.txt,191,19
022_MSH_08_Crooked_Man.txt,129,21
023_MSH_09_Resident_Patient.txt,195,19
024_MSH_10_Greek_Interpreter.txt,181,15
025_MSH_11_Naval_Treaty.txt,378,26
026_MSH_12_Final_Problem.txt,141,23
028_Hound_of_theBaskervilles.txt,1481,139
029_RSH_01_Empty_House.txt,115,20
030_RSH_02_Norwood_Builder.txt,215,23
031_RSH_03_Dancing_Men.txt,217,26
032_RSH_04_Solitary_Cyclist.txt,146,23
033_RSH_05_Priory_School.txt,350,19
034_RSH_06_Black_Peter.txt,195,24
035_RSH_07_Charles_Augustus_Milverton.txt,125,20
036_RSH_08_Six_Napoleons.txt,152,24
037_RSH_09_Three_Students.txt,213,13
038_RSH_10_Golden_PinceNez.txt,184,19
039_RSH_11_Missing_Three_Quarter.txt,213,16
040_RSH_12_Abbey_Grange.txt,178,27
041_RSH_13_Second_Stain.txt,268,20
042_HLB_1_Wisteria_Lodge_MULTIPART.txt,252,31
043_HLB_2_Bruce_Partington_Plans.txt,319,21
044_HLB_3_Devils_Foot.txt,168,30
045_HLB_4_Red_Circle.txt,172,16
046_HLB_5_Disappearance_Lady_Frances_Carfax.txt,172,23
047_HLB_6_Dying_Detective.txt,187,9
048_Valley_of_Fear.txt,1537,136
049_HLB_7_His_Last_Bow.txt,167,12
050_CBSH_1_Mazarin_Stone.txt,256,3
